Food,Class,Ingredients,Calories,Protein,Carbs,Fat,Healthy
Jalebi,Veg,"Maida, Sugar syrup, Ghee",300,3,65,10,No
Butter Naan,veg,"Maida, butter, yogurt, yeast",300,6,50,9,No
Chicken Cafreal,nonveg,"chicken, coriander, green chili",301.1,27.2,6.2,18.9,Yes
Pongal (Simple),veg,"rice, moong dal, salt, pepper",301.47,9.23,39.41,9.94,Yes
Aloo Gobi (With Paneer),veg,"potato, cauliflower, paneer",301.86,8.02,25.94,16.45,No
Toor Dal (Spicy),vegan,"toor dal, green chili, garlic, cumin",302.46,16.41,31.93,9.06,Yes
Aloo Gobi (Dry),vegan,"potato, cauliflower, cumin",303.67,7.94,25.76,17.88,Yes
Pongal (Ayurvedic),veg,"brown rice, dal, pepper, cumin",304.42,10.11,36.89,9.13,Yes
Palak Paneer (No Onion),veg,"paneer, spinach, tomato, spices",305.39,18.98,28.56,13.49,Yes
Chicken Stew,nonveg,"chicken, coconut milk, spices",305.5,21.6,7.2,22.1,Yes
Chana Sundal (With Lemon),vegan,"chickpeas, lemon, chili, mustard",305.71,13.53,29.73,9.81,Yes
Aloo Gobi (No Onion),veg,"potato, cauliflower, tomato, spices",305.81,12.48,37.62,10.29,Yes
Prawn Malai Curry,nonveg,"prawns, coconut milk, cardamom",308.5,21.9,6.5,21.4,Yes
Pongal (Wheat Based),veg,"broken wheat, dal, ghee",308.57,10.23,36.74,10.58,Yes
Rajma Masala (No Onion),vegan,"kidney beans, tomato, cumin, ginger",308.61,14.92,33.16,8.76,Yes
Fish Kofta Curry,nonveg,"fish balls, onion gravy",309.1,23.4,7.4,19.9,Yes
Chana Sundal (Spicy),vegan,"chickpeas, mustard, curry leaves, chili",309.11,13.88,28.41,10.76,Yes
Egg Appam,nonveg,"egg, fermented rice batter, coconut milk",309.5,11.2,33.8,14.3,Yes
Chicken Drumstick Roast,nonveg,"chicken leg, spices, oil",309.7,28.9,4.2,19.3,Yes
Pongal (With Ragi),veg,"ragi, dal, ghee, pepper",309.82,10.46,35.82,9.92,Yes
Dosa,Veg,"Rice,Urad dal, Fenugreek",310,9,55,6,Yes
Undhiyu,Veg,"Mixed vegetables, Spices, Methi",310,8,45,14,Yes
Chhena Poda,Veg,"Chhena, Sugar, Cardamom",310,8,28,15,Yes
Amritsari Kulcha,Veg,"Maida, Potato, Spices",310,7,50,9,No
Chhena Poda,Veg,"Chhena, Sugar, Cardamom",310,8,28,15,Yes
Obbattu/Holige,Veg,"Chana dal, Jaggery, Flour",310,6,52,8,Yes
Chicken Paratha,nonveg,"Wheat flour, chicken keema, chili, spices",310,16,30,12,No
Aloo Gobi (With Onion),vegan,"potato, cauliflower, onion",310.35,8.19,26.54,18.37,Yes
Egg Kofta Curry,nonveg,"egg, onion, gram flour, masala",310.6,17.8,9.1,19.6,No
Fish Fry,nonveg,"fish, semolina, spices",310.8,23.5,8.4,20.7,No
Kootu Curry (Kerala Style),veg,"raw banana, black chana, coconut, spices",311.64,10.84,30.62,11.98,Yes
Pongal (No Onion/Garlic),veg,"rice, dal, black pepper, cumin",311.88,9.51,39.26,10.01,Yes
Masala Dosa,veg,"fermented batter, potato masala",312.4,7.8,35.2,14.3,Yes
Aloo Gobi (Dry),veg,"potato, cauliflower, tomato, spices",312.44,12.03,38.89,11.02,Yes
Aloo Gobi,vegan,"potato, cauliflower, spices",312.45,8.21,26.98,18.65,Yes
Vegetable Stew (Light),vegan,"carrot, beans, coconut milk, curry leaves",312.48,8.27,30.84,12.46,Yes
Chana Sundal (Dry),vegan,"chickpeas, coconut, mustard seeds, curry leaves",312.53,13.62,29.47,10.23,Yes
Vegetable Biryani South Indian,veg,"basmati rice, veggies, spices",312.7,6.4,41.6,12.9,Yes
Rajma (Low Oil),veg,"rajma, tomato, cumin",312.78,12.67,34.43,11.81,Yes
Andhra Chicken Fry,nonveg,"chicken, curry leaves, chili",312.8,26.4,5.1,20.3,Yes
Chicken Bharta,nonveg,"shredded chicken, egg, masala",312.9,26.7,7.8,18.5,Yes
Rava Kesari,veg,"semolina, sugar, ghee",312.9,4.2,36.8,16.9,No
Aloo Gobi (With Methi),vegan,"potato, cauliflower, methi",314.56,8.27,26.81,18.65,Yes
Kootu Curry (With Green Gram),veg,"green gram, coconut, turmeric, banana",314.59,11.18,29.53,11.39,Yes
Masoor Dal (Smoky),vegan,"masoor dal, ghee, garlic, spices",314.72,17.89,32.17,10.29,Yes
Pongal (With Moong Sprouts),veg,"sprouted moong, rice, pepper",314.83,10.88,38.19,9.49,Yes
Egg Paratha,nonveg,"egg, whole wheat flour, ghee",315.5,11.7,28.4,17.6,No
Chicken Masala Dry,nonveg,"chicken, garam masala, onion",315.7,27.4,6.2,19.8,Yes
Aloo Gobi (Spicy),vegan,"potato, cauliflower, chili",315.91,8.33,27.15,18.92,Yes
Aloo Gobi (With Garlic),vegan,"potato, cauliflower, garlic",316.02,8.31,26.92,18.76,Yes
Chole (No Onion Garlic),veg,"chickpeas, tomato, cumin",316.74,11.89,35.76,12.97,Yes
Pongal (Without Rice),veg,"millets, dal, cumin, ghee",316.91,10.62,37.54,10.32,Yes
Baingan Bharta (With Roti),vegan,"eggplant, onion, tomato, spices",317.46,9.14,35.29,14.06,Yes
Chana Sundal (Home Style),vegan,"chickpeas, coconut, onion, mustard",317.46,13.98,30.61,10.98,Yes
Toor Dal (Smoky),vegan,"toor dal, ghee, tomato, spices",317.73,16.22,32.16,10.91,Yes
Aloo Gobi (With Capsicum),vegan,"potato, cauliflower, capsicum",318.17,8.35,27.04,18.89,Yes
Pongal (Millet),veg,"millets, moong dal, spices",318.45,10.37,39.24,9.67,Yes
Egg Fried Rice,nonveg,"egg, rice, spring onion",318.5,12.6,35.4,14.1,No
Kadhi Pakora (With Veggies),veg,"gram flour, yogurt, carrot, beans",318.74,15.06,37.54,12.1,Yes
Kadai Chicken,nonveg,"chicken, capsicum, onion",319.5,26.9,7.4,18.7,Yes
Pongal (With Drumstick Leaves),veg,"rice, dal, moringa, pepper",319.56,10.21,40.12,9.63,Yes
Rajma (Dry),veg,"rajma, dry masala",319.74,12.91,34.15,12.93,Yes
Rajma Masala (With Veggies),vegan,"kidney beans, carrot, onion, garlic",319.84,14.76,34.45,9.08,Yes
Aloo Gobi (With Tomato),vegan,"potato, cauliflower, tomato",319.84,8.41,27.67,19.04,Yes
Aloo Paratha,Veg,"Wheat flour, Potato, Ghee",320,7,54,10,Yes
Fish Curry,Nonveg,"Fish, Tamarind, Coconut, Spices",320,28,12,18,Yes
Pulao,Veg,"Rice, Vegetables, Spices",320,7,60,8,Yes
Sattu Paratha,Veg,"Wheat flour, Sattu, Spices",320,11,50,7,Yes
Machher Jhol,Nonveg,"Fish, Mustard oil, Spices",320,30,8,14,Yes
Carrot Halwa,Veg,"Carrot, Milk, Sugar, Ghee",320,6,38,14,Yes
Samosa,Veg,"Maida, Potato, Spices, Oil",320,6,34,16,No
Seekh Kebab,Nonveg,"Mutton, Spices, Onion",320,24,10,20,Yes
Chicken 65,Nonveg,"Chicken, Spices, Oil",320,26,10,16,No
Gajar Ka Halwa,Veg,"Carrot, Milk, Sugar, Ghee",320,6,38,14,Yes
Milk Barfi,Veg,"Khoya, Sugar, Cardamom",320,7,35,12,Yes
Falooda,Veg,"Milk, Vermicelli, Sabja, Rose syrup",320,8,50,9,Yes
Adhirasam,Veg,"Rice flour, Jaggery, Ghee",320,4,52,10,No
Ragda Pattice,Veg,"White peas, Potato, Chutneys",320,9,50,9,Yes
Keema Paratha,nonveg,"Wheat flour, minced mutton, chili, spices",320,15,32,14,No
Egg Paratha,nonveg,"egg, wheat flour, ghee",320.2,12.4,32.8,16.2,No
Chicken Tikka Masala,nonveg,"chicken, tomato, cream, spices",320.4,26.8,12.5,18.7,Yes
Kootu Curry (Spicy),veg,"black chana, chili, banana, coconut",321.39,11.07,30.58,12.73,No
Aloo Gobi (With Carrot),vegan,"potato, cauliflower, carrot",321.43,8.47,27.31,19.08,Yes
Kadhi Pakora (Dry Pakora),veg,"gram flour, yogurt, onion, turmeric",322.51,12.99,38.76,13.29,Yes
Rajma (No Onion),veg,"kidney beans, tomato, ghee, spices",322.6,16.09,38.37,12.98,Yes
Chicken Pakora,nonveg,"chicken, gram flour, ajwain",322.6,20.3,11.1,21.5,No
Pongal (With Green Gram),veg,"green gram, rice, ghee",322.66,10.54,38.13,10.87,Yes
Palak Paneer (Spicy),veg,"paneer, spinach, green chili, garlic",322.79,20.48,24.79,14.03,Yes
Chicken Sevai,nonveg,"chicken, rice noodles, mustard",323.6,19.1,33.8,13.4,Yes
Pongal (With Turmeric),veg,"rice, dal, turmeric, pepper",323.69,9.48,40.31,11.13,Yes
Rajma (No Onion Garlic),veg,"rajma, tomato, cumin",323.78,12.51,34.69,12.34,Yes
Chicken Upma,nonveg,"chicken, semolina, curry leaves",324.2,19.3,30.6,13.9,Yes
Chole (Dry),veg,"chickpeas, dry masala",324.79,12.02,36.11,13.62,Yes
Chicken 65,nonveg,"chicken, yogurt, spices",325.2,28.9,8.7,18.4,No
Chicken Maggi,nonveg,"noodles, chicken, chili flakes",325.2,15.6,36.4,12.5,No
Chicken Chettinad,nonveg,"chicken, pepper, onion, spices",325.5,28.4,6.3,19.1,Yes
Chicken Khichdi,nonveg,"rice, lentils, chicken, spices",325.5,22.4,35.6,10.8,Yes
Pongal (With Vegetables),veg,"rice, moong dal, carrot, beans",327.91,10.12,40.37,10.22,Yes
Prawn Fried Rice,nonveg,"prawns, rice, soy sauce",328.1,21.3,34.8,12.8,Yes
Chole (With Palak),veg,"chickpeas, spinach, tomato",328.15,12.21,36.84,13.94,Yes
Egg Sandwich,nonveg,"boiled eggs, bread, mayonnaise",328.3,13.1,33.7,17.5,No
Chana Sundal (With Onion),vegan,"chickpeas, onion, green chili, coconut",328.44,14.09,30.78,11.55,Yes
Fish Moilee,nonveg,"fish, coconut milk, green chili",328.7,25.3,6.5,21.4,Yes
Rajma Masala (Punjabi),vegan,"kidney beans, tomato, ginger, garlic",329.46,15.22,39.87,10.15,Yes
Medu Vada,Veg,"Urad dal, Curry leaves, Spices",330,11,40,14,Yes
Litti Chokha,Veg,"Wheat flour, Sattu, Brinjal, Tomato",330,10,55,8,Yes
Pongal (With Onion),veg,"rice, dal, onion, ghee",331.15,9.74,41.38,12.67,Yes
Pongal (Ginger Flavored),veg,"rice, dal, ginger, ghee",332.18,9.61,40.76,12.84,Yes
Toor Dal (Tadka),vegan,"toor dal, garlic, ghee, mustard",332.29,16.14,32.42,11.92,Yes
Vegetable Khichdi (No Ghee),veg,"rice, dal, turmeric, spices",332.74,10.42,43.91,9.33,Yes
Rajma (Methi),veg,"rajma, fenugreek, tomato",333.64,13.11,35.17,13.27,Yes
Egg Masala Dosa,nonveg,"egg, dosa batter, chutney",334.6,13.2,31.5,17.6,No
Pongal (Spicy),veg,"rice, moong dal, black pepper, green chili",335.13,9.94,42.06,11.53,Yes
Rajma Masala (Spicy),vegan,"kidney beans, chili, onion, garlic",335.57,15.43,36.91,10.56,Yes
Chicken Xacuti,nonveg,"chicken, poppy seeds, coconut",335.7,27.8,6.7,22.3,Yes
Chicken Uthappam,nonveg,"chicken, rice batter, onion",336.2,18.9,32.1,15.8,Yes
Chole (Home Style),veg,"chickpeas, onion, tomato, spices",336.24,15.04,42.58,14.77,Yes
Chole (With Onion),veg,"chickpeas, onion, chili",336.47,12.36,37.49,14.23,Yes
Aloo Gobi (Home Style),veg,"potato, cauliflower, onion, spices",336.61,13.71,42.45,13.88,Yes
Rajma (With Palak),veg,"rajma, spinach, tomato",336.81,13.05,35.77,13.51,Yes
Fish Tikka Masala,nonveg,"fish, tomato, cream",337.2,25.6,7.8,22.5,No
Kootu Curry (Home Style),veg,"banana, chana, coconut, jaggery",337.22,10.62,31.94,13.68,No
Mutton Cutlet,nonveg,"minced mutton, potato, breadcrumb",338.4,21.9,13.7,20.4,No
Pongal (With Garlic),veg,"rice, dal, garlic, ghee",339.67,9.83,42.13,13.31,Yes
Pongal (Jeera Pepper),veg,"rice, dal, cumin, pepper",339.74,9.72,41.91,12.96,Yes
Sabudana Khichdi,Veg,"Sago, Peanuts, Potato, Spices",340,6,62,9,Yes
Prawn Curry,Nonveg,"Prawns, Coconut, Tamarind, Spices",340,28,9,15,Yes
Balushahi,Veg,"Maida, Ghee, Sugar syrup",340,5,52,14,No
Chaat Papdi,Veg,"Maida, Potato, Curd, Sev, Spices",340,8,42,15,No
Balushahi,Veg,"Maida, Ghee, Sugar syrup",340,5,52,14,No
Karanji/Gujiya,Veg,"Maida, Khoya, Dry fruits, Sugar",340,7,48,12,No
Rajma (Tomato Gravy),veg,"rajma, tomato, ginger",340.42,13.39,35.86,13.62,Yes
Chole (With Garlic),veg,"chickpeas, garlic, tomato",341.63,12.49,37.93,14.51,Yes
Egg Noodles,nonveg,"egg, noodles, cabbage",342.1,14.7,37.2,13.8,No
Rajma (Spicy),veg,"rajma, chili, tomato",342.19,13.48,36.24,13.87,Yes
Pongal (Traditional),veg,"rice, moong dal, ghee, pepper",342.27,9.68,42.51,13.45,Yes
Egg Biryani,nonveg,"egg, basmati rice, fried onion",342.4,15.6,46.2,12.5,Yes
Vegetable Khichdi (No Onion),veg,"rice, dal, turmeric, cumin",342.74,10.86,43.13,10.84,Yes
Pongal (Protein Rich),veg,"toor dal, moong dal, rice, spices",343.26,11.26,40.93,12.27,Yes
Rajma (Punjabi),veg,"kidney beans, onion, tomato, spices",344.67,13.89,36.82,13.91,Yes
Chicken Frankie,nonveg,"chicken, roti, cabbage, mayo",345.2,19.7,26.3,20.3,No
Chicken Chettinad,nonveg,"chicken, curry leaves, black pepper",345.7,27.6,6.4,22.3,Yes
Fish Pulao,nonveg,"fish, rice, spices",345.8,22.4,44.1,11.5,Yes
Masoor Dal (Tandoori),vegan,"masoor dal, ghee, onion, spices",346.11,18.89,33.95,13.76,No
Chana Sundal (Tandoori),vegan,"chickpeas, ghee, chili, spices",346.79,14.71,30.24,13.64,No
Chole (Punjabi),veg,"chickpeas, tomato, spices",347.25,12.64,38.23,14.73,Yes
Rajma Masala (Tandoori),vegan,"kidney beans, tomato, smoked spices",347.48,15.58,35.67,11.92,Yes
Palak Paneer (Dry),veg,"paneer, spinach, tomato, onion",347.55,18.31,30.62,16.91,Yes
Pongal (Pepper Heavy),veg,"rice, dal, ghee, lots of pepper",348.11,9.55,41.66,13.88,Yes
Chana Masala (Low Oil),vegan,"chickpeas, cumin, tomato",348.42,13.15,30.02,19.76,Yes
Chicken Manchurian,nonveg,"chicken, soy sauce, garlic",348.6,22.7,15.4,21.2,No
Pongal (With Milk),veg,"rice, milk, dal, cardamom",348.77,8.42,47.84,11.37,No
Kootu Curry (Tandoori Style),veg,"banana, chana, spices, smoked coconut",348.78,11.03,30.77,13.18,Yes
Vegetable Khichdi (Low Fat),veg,"rice, dal, vegetables, less ghee",349.28,10.97,44.12,11.38,Yes
Rajma (Masala),veg,"rajma, masala mix, chili",349.28,13.58,36.92,14.08,Yes
Chicken Nihari,nonveg,"chicken, ginger, ghee",349.7,25.3,8.4,23.1,No
Rajma Chawal,Veg,"Rajma, Rice, Onion, Tomato",350,13,62,8,Yes
Kadhi Chawal,Veg,"Curd, Besan, Rice, Spices",350,9,54,10,Yes
Rabri,Veg,"Milk, Sugar, Cardamom",350,9,45,14,Yes
Kachori,Veg,"Maida, Dal filling, Oil",350,7,32,18,No
Rabri,Veg,"Milk, Sugar, Cardamom",350,9,45,14,Yes
Double Ka Meetha,Veg,"Bread, Milk, Sugar, Dry fruits",350,7,40,14,Yes
Chana Masala (No Onion Garlic),vegan,"chickpeas, tomato, cumin",350.72,13.08,29.89,19.94,Yes
Rajma (Tandoori),veg,"rajma, smoked spices",351.07,13.36,36.48,14.12,Yes
Chole (Tandoori),veg,"chickpeas, smoked spice",351.91,12.57,38.11,14.64,Yes
Chicken Handi,nonveg,"chicken, onion, tomato, cream",352.4,26.5,7.3,24.1,No
Keema Matar,nonveg,"minced mutton, green peas",353.7,29.2,7.1,23.5,No
Aloo Gobi (Spicy),veg,"potato, cauliflower, green chili, onion",354.27,14.96,45.36,15.29,Yes
Vegetable Biryani (No Onion),veg,"rice, tomato, vegetables, spices",354.77,10.03,46.28,11.95,Yes
Rajma (With Ghee),veg,"rajma, ghee, spices",355.43,13.62,36.91,14.78,No
Mutton Seekh Kebab,nonveg,"mutton, garlic, chili",355.6,28.8,6.1,23.6,No
Rajma Masala (Low Oil),vegan,"rajma, tomato, cumin",355.89,13.98,31.56,20.67,Yes
Pongal (Temple Style),veg,"rice, dal, pepper, cumin, ghee",356.21,9.66,43.29,14.35,Yes
Methi Malai Chicken,nonveg,"chicken, cream, fenugreek",356.7,27.1,7.3,24.6,No
Rajma Masala (Home Style),vegan,"kidney beans, tomato, garlic, ghee",356.94,15.09,36.55,12.47,No
Pongal (Festival),veg,"rice, dal, ghee, pepper, turmeric",357.49,9.77,43.68,14.44,Yes
Mutton Keema,nonveg,"minced mutton, peas, garam masala",357.5,28.9,8.4,24.7,No
Vegetable Khichdi (With Jeera),veg,"rice, dal, cumin, ghee",357.64,11.09,42.98,12.31,Yes
Chana Masala (With Hing),vegan,"chickpeas, asafoetida, tomato",358.19,13.25,30.23,20.59,Yes
Chicken Schezwan,nonveg,"chicken, schezwan sauce, garlic",358.2,24.3,13.5,22.8,No
Paneer Butter Masala (Low Fat),veg,"paneer, spices, ghee, peas",359.17,19.82,34.78,18.21,Yes
Pongal (With Ghee Roasted Spices),veg,"rice, dal, roasted spices, ghee",359.18,9.85,43.61,14.72,Yes
Rajma (Spicy),veg,"kidney beans, onion, green chili, tomato",359.19,18.26,44.63,14.1,Yes
Chana Masala (With Mint),vegan,"chickpeas, mint, tomato",359.31,13.28,30.32,20.66,Yes
Paneer Paratha,Vegetarian,"Wheat flour, Paneer, Spices",360,14,50,12,Yes
Dal Dhokli,Veg,"Wheat flour, Toor dal, Spices",360,12,58,9,Yes
Pesarattu Upma,Veg,"Green gram, Rava, Onion, Spices",360,14,58,8,Yes
Sheer Khurma,Veg,"Milk, Vermicelli, Dates, Nuts",360,9,42,15,Yes
Sheer Khurma,Veg,"Milk, Vermicelli, Dates, Nuts",360,9,42,15,Yes
Kathi Roll (Veg),Veg,"Paratha, Paneer/Vegetables, Onion, Spices",360,12,50,12,Yes
Chana Masala (With Palak),vegan,"chickpeas, spinach, tomato",360.89,13.33,30.45,20.83,Yes
Rajma (With Butter),veg,"rajma, butter, chili",361.34,13.74,36.55,15.48,No
Chicken Tikka Roll,nonveg,"chicken tikka, roti, chutney",361.5,25.1,28.2,18.7,No
Rajma Masala (No Onion Garlic),vegan,"rajma, tomato, hing",361.73,14.11,32.03,21.15,Yes
Vegetable Khichdi (With Garlic),veg,"rice, dal, garlic, ghee",361.78,11.24,43.37,12.56,Yes
Kootu Curry (With Ghee),veg,"raw banana, chana, coconut, ghee",362.14,10.75,31.23,15.27,No
Rajma Masala (Smoky),vegan,"kidney beans, tomato, ghee, spices",362.29,15.21,37.12,12.64,No
Pongal (With Coconut),veg,"rice, moong dal, coconut, ghee",362.29,9.78,43.24,14.92,No
Prawn Masala Dosa,nonveg,"prawns, dosa batter, tomato",362.4,17.5,35.2,16.9,No
Chana Masala (With Kasuri Methi),vegan,"chickpeas, fenugreek, tomato",362.44,13.37,30.68,20.96,Yes
Palak Paneer (With Tofu),vegan,"spinach, tofu, spices",362.74,14.57,17.03,25.84,Yes
Chole (With Butter),veg,"chickpeas, butter, spices",362.88,12.72,38.67,15.86,No
Rajma Masala (With Kasuri Methi),vegan,"rajma, fenugreek, tomato",364.28,14.17,32.28,21.34,Yes
Chicken Kathi Roll,nonveg,"chicken, wrap, chutney",365.2,24.7,27.3,19.1,No
Chicken Pulao,nonveg,"chicken, rice, bay leaf",365.4,25.9,32.1,16.4,Yes
Rajma (With Coconut),veg,"rajma, coconut, masala",365.44,13.25,37.14,15.42,No
Vegetable Khichdi (Plain),veg,"rice, moong dal, turmeric, ghee",365.62,11.25,44.92,13.65,Yes
Chicken Egg Roll,nonveg,"chicken, egg, roti, chutney",365.9,22.7,28.4,19.6,No
Vegetable Khichdi (With Palak),veg,"rice, dal, spinach, spices",367.89,12.01,42.88,12.17,Yes
Mutton Stew,nonveg,"mutton, coconut milk, spices",368.5,27.5,6.8,25.7,No
Chana Masala,vegan,"chickpeas, tomato, spices",368.94,13.54,30.84,21.12,Yes
Chicken Seekh Roll,nonveg,"minced chicken, wrap, chutney",369.8,26.4,26.9,20.5,No
Masala Dosa,Veg,"Rice, Urad dal, Potato, Spices",370,9,58,11,Yes
Palak Paneer (Low Fat),veg,"spinach, paneer, low oil",370.48,15.63,17.31,26.45,Yes
Prawn Biryani,nonveg,"prawns, rice, ghee, masala",370.6,23.7,46.2,13.9,Yes
Vegetable Khichdi (Spicy),veg,"rice, dal, chili, ghee",371.16,11.53,44.84,13.12,Yes
Vegetable Biryani (Low Oil),veg,"rice, vegetables, green peas, masala",371.23,10.51,48.99,12.6,Yes
Rajma Masala (With Spinach),vegan,"rajma, palak, tomato",371.36,14.25,32.48,21.96,Yes
Chole (Dry),veg,"chickpeas, onion, tomato, ghee",371.43,14.37,43.12,20.1,No
Chana Masala (Spicy),vegan,"chickpeas, chili, tomato",372.36,13.63,31.27,21.48,Yes
Keema Pav,nonveg,"minced mutton, pav, onion",372.4,26.9,29.1,20.3,No
Rajma Masala (With Mint),vegan,"rajma, mint, tomato",372.89,14.29,32.57,22.03,Yes
Matar Paneer (With Tofu),vegan,"tofu, peas, tomato",373.32,13.76,18.72,27.63,Yes
Vegetable Khichdi (Green),veg,"rice, dal, spinach, green chili",373.89,11.63,43.79,13.02,Yes
Mutton Masala Fry,nonveg,"mutton, garlic, green chili",374.3,28.4,6.8,25.7,No
Chole (With Paneer),veg,"chickpeas, paneer, tomato",374.38,14.23,39.26,16.12,No
Pongal (With Cashews),veg,"rice, dal, ghee, cashews",374.46,9.69,44.52,15.94,No
Vegetable Khichdi (Home Style),veg,"rice, moong dal, carrot, peas",374.53,11.33,44.26,12.94,Yes
Mutton Do Pyaza,nonveg,"mutton, onion, garlic",374.6,28.2,7.1,26.7,No
Rajma Masala (With Ghee),vegan,"kidney beans, ghee, onion, tomato",374.66,15.69,36.88,13.74,No
Chana Masala (With Onion),vegan,"chickpeas, onion, tomato",374.71,13.68,31.52,21.65,Yes
Mutton Kheema,nonveg,"minced mutton, onion, peas",375.7,30.2,5.8,27.9,No
Egg Kothu Parotta,nonveg,"egg, parotta, onion",376.4,14.8,30.2,22.5,No
Kadhi Pakora (Punjabi),veg,"gram flour, yogurt, onion, spices",376.43,14.77,42.88,17.64,No
Rajma Masala,vegan,"kidney beans, tomato, spices",377.21,14.31,32.85,22.18,Yes
Rajma (With Paneer),veg,"rajma, paneer, tomato",377.95,14.93,37.26,16.02,No
Mutton Keema Dosa,nonveg,"minced mutton, dosa batter, chutney",378.9,22.4,30.4,19.6,No
Palak Paneer (With Roti),veg,"paneer, spinach, onion, ghee",378.94,19.9,36.87,19.12,Yes
Chicken Ghee Roast,nonveg,"chicken, ghee, red chili",379.5,26.8,5.3,27.6,No
Vegetable Khichdi (With Veggies),veg,"rice, moong dal, beans, carrot",379.84,11.78,45.23,12.72,Yes
Vada Pav,Veg,"Potato, Bun, Spices",380,8,52,13,No
Puran Poli,Veg,"Wheat flour, Chana dal, Jaggery",380,9,60,10,Yes
Bisi Bele Bath,Veg,"Rice, Toor dal, Tamarind, Spices",380,11,65,9,Yes
Egg Biryani,Nonveg,"Eggs, Rice, Spices",380,16,58,12,Yes
Ghewar,Veg,"Maida, Sugar, Ghee",380,6,58,15,No
Ghewar,Veg,"Maida, Sugar, Ghee",380,6,58,15,No
Shahi Tukda,Veg,"Bread, Milk, Sugar, Ghee",380,6,45,16,No
Egg Roll,Nonveg,"Paratha, Egg, Onion, Spices",380,14,45,12,Yes
Pongal (Sweet),veg,"rice, jaggery, ghee, cardamom",381.34,5.63,59.21,13.81,No
Rajma Masala (Spicy),vegan,"rajma, chili, tomato",381.76,14.42,33.29,22.53,Yes
Rajma Masala (With Onion),vegan,"rajma, onion, tomato",384.12,14.47,33.54,22.72,Yes
Vegetable Khichdi (Tandoori),veg,"khichdi, smoked spices, vegetables",384.43,11.86,44.76,13.51,Yes
Chole (Spicy),veg,"chickpeas, tomato, green chili, onion",384.52,17.61,46.39,18.55,Yes
Egg Fried Rice,nonveg,"egg, rice, soy sauce, onion",385.5,12.8,49.1,14.2,No
Chicken Korma,nonveg,"chicken, cashews, cream",385.8,26.5,9.3,28.5,No
Vegetable Stew (Spicy),vegan,"potato, chili, coconut milk, onion",387.13,9.16,35.71,17.32,No
Matar Paneer (Low Fat),veg,"paneer, peas, low oil",387.61,14.89,19.67,29.84,Yes
Mutton Pepper Fry,nonveg,"mutton, black pepper, onion",389.2,28.4,5.6,27.4,No
Chicken Korma,nonveg,"chicken, cashew, cream",390.1,25.9,6.2,31,No
Chicken Pulao,nonveg,"chicken, rice, ghee, spices",390.7,26.2,45.5,14.6,Yes
Chana Masala (With Coconut),vegan,"chickpeas, coconut, masala",391.58,13.79,32.16,22.64,No
Palak Paneer,veg,"spinach, paneer, spices",392.58,15.91,17.56,28.42,Yes
Paneer Butter Masala (No Onion),veg,"paneer, ghee, tomato, spices",392.88,21.67,35.24,20.06,Yes
Vegetable Biryani (With Brown Rice),veg,"brown rice, vegetables, curd",394.84,10.98,48.62,12.87,Yes
Palak Paneer (With Tomatoes),veg,"spinach, paneer, tomato",394.86,15.92,18.21,28.71,Yes
Palak Paneer (With Garlic),veg,"spinach, paneer, garlic",395.24,15.84,17.66,28.59,Yes
Mutton Pepper Fry,nonveg,"mutton, black pepper, curry leaves",395.7,29.6,5.7,28.3,No
Fish Biryani,nonveg,"fish, basmati rice, fried onion",396.2,27.4,38.5,19.2,No
Rajma (Tandoori),veg,"kidney beans, tomato, spices, ghee",396.75,19.85,48.92,17.65,No
Palak Paneer (Spicy),veg,"spinach, paneer, chili",397.12,16.01,17.82,28.97,Yes
Vegetable Biryani (Low Oil),veg,"rice, veggies, yogurt, minimal oil",397.88,10.27,50.83,12.26,Yes
Vegetable Khichdi (With Curd),veg,"rice, moong dal, vegetables, curd",398.21,11.61,46.13,14.32,Yes
Vegetable Stew (With Coconut Milk),vegan,"potato, carrot, coconut milk, spices",398.24,8.91,36.45,18.73,No
Rajma Masala (With Ghee),veg,"rajma, ghee, masala",398.45,14.58,33.14,24.12,No
Palak Paneer (With Onion),veg,"spinach, paneer, onion",398.47,15.99,18.43,29.12,Yes
Vegetable Biryani (Home Style),veg,"rice, carrot, beans, ghee",398.65,11.22,50.73,15.98,No
Aloo Gobi (Tandoori),veg,"potato, cauliflower, spices, ghee",398.84,15.22,48.75,19.57,No
Biryani (Veg),Veg,"Rice, Vegetables, Spices",400,8,70,9,Yes
Luchi Alur Dom,Veg,"Maida, Potato, Spices",400,9,54,16,No
Moong Dal Halwa,Veg,"Moong dal, Sugar, Ghee",400,8,34,20,No
Moong Dal Halwa,Veg,"Moong dal, Ghee, Sugar",400,8,34,20,No
Palak Paneer (With Fenugreek),veg,"spinach, paneer, fenugreek",400.63,16.08,18.12,29.34,Yes
Matar Paneer (No Onion Garlic),veg,"paneer, peas, tomato",401.26,15.27,19.54,30.62,Yes
Chole (With Roti),veg,"chickpeas, onion, tomato, ghee",402.15,18.05,51.73,23.97,No
Prawn Biryani,nonveg,"prawns, basmati rice, fried onions",402.5,27.2,37.5,18.3,No
Palak Paneer (Tandoori),veg,"spinach, paneer, smoked spices",402.76,16.12,18.01,29.48,Yes
Mutton Kurma,nonveg,"mutton, coconut paste, garam masala",402.8,29.6,7.3,27.5,No
